ItemID,StoreID,CategoryName,ItemName,Description,Price,ImageURL,IsAvailable,IsPopular,IsRecommended,Allergens,CalorieKcal
M017,S004,焼肉,焼肉弁当 特上,A5ランク国産牛を使用した贅沢焼肉弁当,2500,https://placehold.co/300x200?text=焼肉弁当特上,TRUE,FALSE,TRUE,牛・小麦・大豆,920
M018,S004,プレート,焼肉盛り合わせプレート,カルビ・ロース・ハラミ・野菜の盛り合わせ,1800,https://placehold.co/300x200?text=盛り合わせ,TRUE,TRUE,FALSE,牛・小麦・大豆,780
M019,S004,単品,牛タン定食,厚切り牛タン3枚定食（ライス・スープ付き）,1600,https://placehold.co/300x200?text=牛タン定食,TRUE,FALSE,FALSE,牛・小麦・大豆,680
M020,S005,中華,麻婆豆腐定食,本格四川風麻婆豆腐（ライス付き）,850,https://placehold.co/300x200?text=麻婆豆腐,TRUE,TRUE,TRUE,大豆・小麦・豚,520
M021,S005,中華,チャーハン,パラパラ炒飯 ハーフ付け合わせ付き,750,https://placehold.co/300x200?text=チャーハン,TRUE,TRUE,FALSE,小麦・卵・大豆,640
M022,S005,中華,餃子（10個）,肉汁たっぷりジューシー餃子,550,https://placehold.co/300x200?text=餃子,TRUE,TRUE,FALSE,小麦・豚・大豆,420
M023,S005,麺類,海鮮あんかけ焼きそば,エビ・イカ・ホタテ入りあんかけ焼きそば,900,https://placehold.co/300x200?text=あんかけ焼きそば,TRUE,FALSE,TRUE,小麦・魚・甲殻類・大豆,580
M024,S005,セット,麻婆豆腐+チャーハンセット,人気メニュー2品セット,1380,https://placehold.co/300x200?text=セット,TRUE,FALSE,FALSE,小麦・卵・大豆・豚,1020
M025,S006,パスタ,ボロネーゼ,自家製ミートソースたっぷり手打ちパスタ,1100,https://placehold.co/300x200?text=ボロネーゼ,TRUE,TRUE,TRUE,小麦・乳・牛,620
M026,S006,パスタ,ペスカトーレ,海鮮たっぷりトマトソースパスタ,1200,https://placehold.co/300x200?text=ペスカトーレ,TRUE,FALSE,FALSE,小麦・魚・甲殻類,580
M027,S006,サンドイッチ,クラブハウスサンド,チキン・ベーコン・アボカド・卵のサンドイッチ,900,https://placehold.co/300x200?text=クラブハウスサンド,TRUE,TRUE,FALSE,小麦・卵・乳,480
M028,S006,スイーツ,チーズケーキセット,濃厚ベイクドチーズケーキ+ドリンク,850,https://placehold.co/300x200?text=チーズケーキ,TRUE,FALSE,TRUE,小麦・乳・卵,380
M029,S006,ドリンク,コーヒーセット,ドリップコーヒー+ケーキ1個,650,https://placehold.co/300x200?text=コーヒーセット,TRUE,FALSE,FALSE,小麦・乳・卵,210
M030,S007,天ぷら,海老天丼,大海老3本+野菜天ぷら 天丼,1200,https://placehold.co/300x200?text=海老天丼,TRUE,TRUE,TRUE,小麦・甲殻類・卵,680
M031,S007,天ぷら,天ぷら盛り合わせ弁当,海老・魚・野菜の天ぷら盛り合わせ弁当,1100,https://placehold.co/300x200?text=天ぷら弁当,TRUE,TRUE,FALSE,小麦・魚・甲殻類・卵,720
M032,S007,天ぷら,かきあげ丼,ふわっふわのかきあげどんぶり,850,https://placehold.co/300x200?text=かきあげ丼,TRUE,FALSE,FALSE,小麦・卵,580
M033,S007,単品,天ぷら単品 海老5本,プリプリ海老天ぷら5本,900,https://placehold.co/300x200?text=海老天ぷら,TRUE,FALSE,FALSE,小麦・甲殻類・卵,320
M034,S008,海鮮丼,極上海鮮丼,市場直仕入れ最高鮮度！マグロ・サーモン・ウニ・いくら・タコ・ホタテ入り,2500,https://placehold.co/300x200?text=極上海鮮丼,TRUE,TRUE,TRUE,魚・卵,780
M035,S008,海鮮丼,三色丼（マグロ・サーモン・いくら）,人気3種の豪華丼,1680,https://placehold.co/300x200?text=三色丼,TRUE,TRUE,FALSE,魚・卵,620
M036,S008,海鮮丼,ランチ海鮮丼,コスパ抜群！新鮮ネタのランチ専用丼,1200,https://placehold.co/300x200?text=ランチ海鮮丼,TRUE,FALSE,TRUE,魚・卵,540
M037,S008,サイド,あら汁,新鮮魚のあら汁（具だくさん）,200,https://placehold.co/300x200?text=あら汁,TRUE,FALSE,FALSE,魚・大豆,80
M038,S009,とんかつ,ロースとんかつ定食,肉厚ロースとんかつ150g（ご飯・キャベツ・味噌汁付き）,1050,https://placehold.co/300x200?text=ロースとんかつ,TRUE,TRUE,TRUE,小麦・豚・卵・乳,820
M039,S009,とんかつ,ヒレかつ定食,柔らかヒレかつ4枚（ご飯・キャベツ・味噌汁付き）,1150,https://placehold.co/300x200?text=ヒレかつ,TRUE,FALSE,FALSE,小麦・豚・卵・乳,720
M040,S009,弁当,とんかつ弁当,人気のとんかつをお弁当で（ご飯多め対応可）,980,https://placehold.co/300x200?text=とんかつ弁当,TRUE,TRUE,FALSE,小麦・豚・卵・乳,880
M041,S009,カツ丼,カツ丼,甘辛タレでとじた昔ながらのカツ丼,950,https://placehold.co/300x200?text=カツ丼,TRUE,TRUE,FALSE,小麦・豚・卵・大豆,780
M042,S010,ラーメン,横浜家系ラーメン（並）,豚骨醤油スープに太麺・チャーシュー・ほうれん草・のり,800,https://placehold.co/300x200?text=家系ラーメン,TRUE,TRUE,TRUE,小麦・大豆・豚,720
M043,S010,ラーメン,横浜家系ラーメン（大）,並より麺2倍増量,950,https://placehold.co/300x200?text=家系ラーメン大,TRUE,FALSE,FALSE,小麦・大豆・豚,960
M044,S010,ラーメン,チャーシューメン,チャーシュー6枚のボリューム満点ラーメン,1050,https://placehold.co/300x200?text=チャーシューメン,TRUE,TRUE,FALSE,小麦・大豆・豚,850
M045,S010,サイド,替え玉,麺のおかわり,150,https://placehold.co/300x200?text=替え玉,TRUE,FALSE,FALSE,小麦,250
M046,S010,セット,ラーメン+チャーハンセット,家系ラーメンと半チャーハンのセット,1100,https://placehold.co/300x200?text=ラーメンセット,TRUE,TRUE,FALSE,小麦・大豆・豚・卵,1050
M047,S011,カレー,バターチキンカレー,クリーミーでまろやかなバターチキン（ナン or ライス選択）,950,https://placehold.co/300x200?text=バターチキン,TRUE,TRUE,TRUE,乳・小麦・鶏,480
M048,S011,カレー,マトンカレー,スパイス香るシェフ特製マトンカレー,1000,https://placehold.co/300x200?text=マトンカレー,TRUE,FALSE,FALSE,小麦,520
M049,S011,カレー,ほうれん草チーズカレー（ベジタリアン）,クリーミーなほうれん草カレー 肉なし,850,https://placehold.co/300x200?text=ほうれん草カレー,TRUE,FALSE,TRUE,乳・小麦,380
M050,S011,ナン,プレーンナン,石窯焼きふわふわナン（1枚）,200,https://placehold.co/300x200?text=プレーンナン,TRUE,FALSE,FALSE,小麦・乳,180
M051,S011,セット,カレー2種+ナンセット,選べる2種のカレーとナン2枚セット,1800,https://placehold.co/300x200?text=カレーセット,TRUE,TRUE,FALSE,小麦・乳,880
M052,S012,刺身,お刺身3点盛り,その日の仕入れ旬の刺身3種（醤油・わさび付き）,1500,https://placehold.co/300x200?text=刺身3点,TRUE,TRUE,TRUE,魚,280
M053,S012,焼き魚,金目鯛の煮付け,ふっくら金目鯛の甘辛煮付け,1200,https://placehold.co/300x200?text=金目鯛煮付け,TRUE,FALSE,TRUE,魚・大豆,320
M054,S012,焼き魚,さばの塩焼き,脂ののったさばの塩焼き,900,https://placehold.co/300x200?text=さば塩焼き,TRUE,TRUE,FALSE,魚,380
M055,S012,揚げ物,アジフライ定食,新鮮アジのフライ3枚定食,1000,https://placehold.co/300x200?text=アジフライ,TRUE,TRUE,FALSE,魚・小麦・卵,620
M056,S012,セット,海鮮盛り合わせセット（2人前）,刺身・焼き魚・煮魚の豪華セット2人前,3500,https://placehold.co/300x200?text=海鮮盛り合わせ,TRUE,FALSE,FALSE,魚・大豆,980
